month,case_count,tested_positive,tested_negative,deaths,tested_total,positivity_rate,month_ts,calendar_month,year,month_sin,month_cos,case_count_lag1,case_count_lag2,case_count_lag3,case_count_lag6,case_count_lag12,case_count_roll3_mean,case_count_roll6_mean,case_count_roll3_max,case_growth_lag1,positivity_rate_lag1,target_next_month_cases
2016-01,428,34,390,38,424,0.08018867924528301,2016-01-01,1,2016,0.49999999999999994,0.8660254037844387,83.0,78.0,78.0,41.0,60.0,79.66666666666667,70.5,83.0,5.0,0.07228915662650602,324.0
2016-02,324,43,265,20,308,0.1396103896103896,2016-02-01,2,2016,0.8660254037844386,0.5000000000000001,428.0,83.0,78.0,63.0,82.0,196.33333333333334,135.0,428.0,345.0,0.08018867924528301,236.0
2016-03,236,32,204,14,236,0.13559322033898305,2016-03-01,3,2016,1.0,6.123233995736766e-17,324.0,428.0,83.0,80.0,72.0,278.3333333333333,178.5,428.0,-104.0,0.1396103896103896,173.0
2016-04,173,8,165,12,173,0.046242774566473986,2016-04-01,4,2016,0.8660254037844387,-0.4999999999999998,236.0,324.0,428.0,78.0,61.0,329.3333333333333,204.5,428.0,-88.0,0.13559322033898305,89.0
2016-05,89,2,87,0,89,0.02247191011235955,2016-05-01,5,2016,0.49999999999999994,-0.8660254037844387,173.0,236.0,324.0,78.0,49.0,244.33333333333334,220.33333333333334,324.0,-63.0,0.046242774566473986,61.0
2016-06,61,3,58,0,61,0.04918032786885246,2016-06-01,6,2016,1.2246467991473532e-16,-1.0,89.0,173.0,236.0,83.0,63.0,166.0,222.16666666666666,236.0,-84.0,0.02247191011235955,61.0
2016-07,61,2,59,1,61,0.03278688524590164,2016-07-01,7,2016,-0.4999999999999997,-0.8660254037844388,61.0,89.0,173.0,428.0,41.0,107.66666666666667,218.5,173.0,-28.0,0.04918032786885246,48.0
2016-08,48,2,46,2,48,0.041666666666666664,2016-08-01,8,2016,-0.8660254037844384,-0.5000000000000004,61.0,61.0,89.0,324.0,63.0,70.33333333333333,157.33333333333334,89.0,0.0,0.03278688524590164,59.0
2016-09,59,5,54,5,59,0.0847457627118644,2016-09-01,9,2016,-1.0,-1.8369701987210297e-16,48.0,61.0,61.0,236.0,80.0,56.666666666666664,111.33333333333333,61.0,-13.0,0.041666666666666664,78.0
2016-10,78,5,73,2,78,0.0641025641025641,2016-10-01,10,2016,-0.8660254037844386,0.5000000000000001,59.0,48.0,61.0,173.0,78.0,56.0,81.83333333333333,61.0,11.0,0.0847457627118644,70.0
2016-11,70,7,63,4,70,0.1,2016-11-01,11,2016,-0.5000000000000004,0.8660254037844384,78.0,59.0,48.0,89.0,78.0,61.666666666666664,66.0,78.0,19.0,0.0641025641025641,54.0
2016-12,54,5,49,1,54,0.09259259259259259,2016-12-01,12,2016,-2.4492935982947064e-16,1.0,70.0,78.0,59.0,61.0,83.0,69.0,62.833333333333336,78.0,-8.0,0.1,162.0
2017-01,162,20,142,0,162,0.12345679012345678,2017-01-01,1,2017,0.49999999999999994,0.8660254037844387,54.0,70.0,78.0,61.0,428.0,67.33333333333333,61.666666666666664,78.0,-16.0,0.09259259259259259,195.0
