,0
case_count,0.49359064164597777
month_cos,0.2445264482069228
case_count_roll3_max,0.038359890740498996
case_count_lag2,0.03365072500911419
case_count_lag12,0.031071389539032247
case_count_lag1,0.03094069145646381
month_sin,0.02243053050152832
positivity_rate_lag1,0.019757160463104377
year,0.018497441905888652
case_count_lag6,0.017845472840854856
case_count_roll3_mean,0.017668387900852706
case_growth_lag1,0.011650217061651516
case_count_lag3,0.010555704696533852
case_count_roll6_mean,0.009455298031576099
